images,sortDate,text,textDate,title
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573105951426_Picture1.png"",""path"":""public/images/imgUploader_1573105951426_Picture1.png"",""size"":291566},{""fieldname"":""imgUploader"",""originalname"":""Picture2.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573105951431_Picture2.png"",""path"":""public/images/imgUploader_1573105951431_Picture2.png"",""size"":803701}]",2016-07-01T00:00:00.000Z,Humble beginnings in the Life Science Research Building!,"July 1, 2016",Humble Beginnings
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573106386485_Picture1.png"",""path"":""public/images/imgUploader_1573106386485_Picture1.png"",""size"":1797846}]",2017-02-22T00:00:00.000Z,"Thank you Dr. Arshad Khan for hosting. We are looking forward to our collaborations!
","February 22, 2017",Melissa visits University of Texas El Paso
"[{""fieldname"":""imgUploader"",""originalname"":""carleton.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573106684627_carletonn.png"",""path"":""public/images/imgUploader_1573106684627_carletonn.png"",""size"":65186}]",2017-08-01T00:00:00.000Z,"Congratulations Aditi Sankhe!
Thank you Carleton University for supporting our research! 
",May - August 2017,Dean’s Summer Research Internship (DSRI)
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573107015211_Picture1.png"",""path"":""public/images/imgUploader_1573107015211_Picture1.png"",""size"":1003366}]",2017-05-01T00:00:00.000Z,"It’s cold in there but it’s wonderful to be with more people from the department again!
",Summer 2017,Summer space in Tory labs
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573107741114_Picture1.png"",""path"":""public/images/imgUploader_1573107741114_Picture1.png"",""size"":232700}]",2017-08-28T00:00:00.000Z,"A little bit of science, followed by ice cream with a toppings buffet, and then strange outdoor games involving metal discs and a cardbox crate","August 28, 2017",Inaugural Lab Retreat
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573107865541_Picture1.png"",""path"":""public/images/imgUploader_1573107865541_Picture1.png"",""size"":716442},{""fieldname"":""imgUploader"",""originalname"":""Picture12png.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573107865547_Picture12png.png"",""path"":""public/images/imgUploader_1573107865547_Picture12png.png"",""size"":258009}]",2017-11-13T00:00:00.000Z,"Kayla and Rebecca meets our collaborators Ken and Dr. Khan in Washington DC for the Society for Neuroscience meeting. Their poster received a continuous flow of attendees and was a smashing success! Congratulations!
","November 13, 2017",Chee lab attends first SfN conference!
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573108039449_Picture1.png"",""path"":""public/images/imgUploader_1573108039449_Picture1.png"",""size"":768613},{""fieldname"":""imgUploader"",""originalname"":""Picture2.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573108039452_Picture2.png"",""path"":""public/images/imgUploader_1573108039452_Picture2.png"",""size"":103785},{""fieldname"":""imgUploader"",""originalname"":""Picture3.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573108039453_Picture3.png"",""path"":""public/images/imgUploader_1573108039453_Picture3.png"",""size"":131523}]",2017-12-01T00:00:00.000Z,"A much needed night to let loose and shake out before relocating (again). Thank you Diane, Heather, and Lenore for putting together a fun night for all of us! 
","December 1, 2017",Department of Neuroscience Holiday Party
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573108321963_Picture1.png"",""path"":""public/images/imgUploader_1573108321963_Picture1.png"",""size"":398368}]",2017-12-12T00:00:00.000Z,"Excited to settle into the new Health Science Building!
","December 12, 2017",Second Home
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573108488628_Picture1.png"",""path"":""public/images/imgUploader_1573108488628_Picture1.png"",""size"":148266}]",2018-05-01T00:00:00.000Z,"Congratulations Aditi Sankhe and Duncan Spencer! Thank you NSERC for supporting our research! 
",May - August 2018,NSERC Undergraduate Summer Research Award
"[{""fieldname"":""imgUploader"",""originalname"":""Picture1.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573108620685_Picture1.png"",""path"":""public/images/imgUploader_1573108620685_Picture1.png"",""size"":374277},{""fieldname"":""imgUploader"",""originalname"":""Picture2.png"",""encoding"":""7bit"",""mimetype"":""image/png"",""destination"":""./public/images"",""filename"":""imgUploader_1573108620686_Picture2.png"",""path"":""public/images/imgUploader_1573108620686_Picture2.png"",""size"":655870}]",2018-05-13T00:00:00.000Z,"Our very own Mikayla won the Best Oral Presentation award for her presentation on Effect of dietary fructose on synaptic plasticity at AgrP/NPY neurons at the 6th Canadian Neurometabolic Meeting in Vancouver, BC. Sweet!
","May 13, 2018",And the award goes to… MIKAYLA PAYANT! 
